name,sport,nationality,sex,date_of_birth,age (at start of games),height (m),weight (kg),BMI,gold,silver,bronze,
A Jesus Garcia,athletics,ESP,male,10/17/69,46.8,1.72,64,21.6,0,0,0,
A Lam Shin,fencing,KOR,female,9/23/86,29.9,1.68,56,19.8,0,0,0,
Aaron Brown,athletics,CAN,male,5/27/92,24.2,1.98,79,20.2,0,0,1,
Aaron Cook,taekwondo,MDA,male,1/2/91,25.6,1.83,80,23.9,0,0,0,
Aaron Gate,cycling,NZL,male,11/26/90,25.7,1.81,71,21.7,0,0,0,
Aaron Royle,triathlon,AUS,male,1/26/90,26.5,1.80,67,20.7,0,0,0,
Aaron Russell,volleyball,USA,male,6/4/93,23.2,2.05,98,23.3,0,0,1,
Aaron Younger,aquatics,AUS,male,9/25/91,24.9,1.93,100,26.8,0,0,0,
Aauri Lorena Bokesa,athletics,ESP,female,12/14/88,27.7,1.80,62,19.1,0,0,0,
Ababel Yeshaneh,athletics,ETH,female,7/22/91,25.1,1.65,54,19.8,0,0,0,
Abadi Hadis,athletics,ETH,male,11/6/97,18.8,1.70,63,21.8,0,0,0,
Abbas Abubakar Abbas,athletics,BRN,male,5/17/96,20.2,1.75,66,21.6,0,0,0,
Abbas Qali,aquatics,IOA,male,10/11/92,23.8,,,,0,0,0,
Abbey D'Agostino,athletics,USA,female,5/25/92,24.2,1.61,49,18.9,0,0,0,
Abbey Weitzeil,aquatics,USA,female,12/3/96,19.7,1.78,68,21.5,1,1,0,
Abbie Brown,rugby sevens,GBR,female,4/10/96,20.3,1.76,71,22.9,0,0,0,
Abbos Rakhmonov,wrestling,UZB,male,7/7/98,18.1,1.61,57,22.0,0,0,0,
Abbubaker Mobara,football,RSA,male,2/18/94,22.5,1.75,64,20.9,0,0,0,
Abby Erceg,football,NZL,female,11/20/89,26.7,1.75,68,22.2,0,0,0,
Abd Elhalim Mohamed Abou,volleyball,EGY,male,6/3/89,27.2,2.10,88,20.0,0,0,0,
Abdalaati Iguider,athletics,MAR,male,3/25/87,29.4,1.73,57,19.0,0,0,0,
Abdalelah Haroun,athletics,QAT,male,1/1/97,19.6,1.85,80,23.4,0,0,0,
Abdalla Targan,athletics,SUD,male,9/28/96,19.9,1.77,65,20.7,0,0,0,
Abdel Aziz Mehelba,shooting,EGY,male,12/10/88,27.7,1.76,80,25.8,0,0,0,
Abdelati El Guesse,athletics,MAR,male,2/27/93,23.5,1.90,72,19.9,0,0,0,
Abdelaziz Merzougui,athletics,ESP,male,8/30/91,25.0,1.75,67,21.9,0,0,0,
Abdelaziz Mohamed Ahmed,aquatics,SUD,male,10/12/94,21.8,1.81,72,22.0,0,0,0,
Abdelghani Demmou,football,ALG,male,1/29/89,27.5,1.85,75,21.9,0,0,0,
Abdelhafid Benchabla,boxing,ALG,male,9/26/86,29.9,1.86,,,0,0,0,
Abdelhakim Amokrane,football,ALG,male,5/10/94,22.3,1.86,70,20.2,0,0,0,
